fecha,total
2018-02-28,193250.0
2018-03-31,296942.5
2018-04-30,238950.0
2018-05-31,256140.0
2018-06-30,270991.0
2018-07-31,334255.0
2018-08-31,250070.0
2018-09-30,262570.0
2018-10-31,259310.0
2018-11-30,254020.0
2018-12-31,310905.0
2019-01-31,249365.0
2019-02-28,256380.0
2019-03-31,281420.0
2019-04-30,305375.0
2019-05-31,287726.0
2019-06-30,297275.0
2019-07-31,278180.0
2019-08-31,294924.0
2019-09-30,266370.0
2019-10-31,263180.0
2019-11-30,259240.0
2019-12-31,284360.0
2020-01-31,245320.0
2020-02-29,249445.0
2020-03-31,289675.0
2020-04-30,327340.0
2020-05-31,354530.0
2020-06-30,292350.0
2020-07-31,340010.0
2020-08-31,340590.0
2020-09-30,283515.0
2020-10-31,295235.0
2020-11-30,335675.0
2020-12-31,278950.0
2021-01-31,294030.0
2021-02-28,309595.0
2021-03-31,339055.0
2021-04-30,342625.0
2021-05-31,319803.5
2021-06-30,260545.0
2021-07-31,325330.0
2021-08-31,316000.0
2021-09-30,269670.0
2021-10-31,317245.0
2021-11-30,306400.0
2021-12-31,350310.0
2022-01-31,306380.0
2022-02-28,253400.0
2022-03-31,109074.0
