fecha,total
2018-02-28,161755.0
2018-03-31,210500.0
2018-04-30,181170.0
2018-05-31,149950.0
2018-06-30,156660.0
2018-07-31,169980.0
2018-08-31,152355.0
2018-09-30,144265.0
2018-10-31,139199.0
2018-11-30,154650.0
2018-12-31,148693.0
2019-01-31,116310.0
2019-02-28,119595.0
2019-03-31,164070.0
2019-04-30,157294.0
2019-05-31,114835.0
2019-06-30,135085.0
2019-07-31,127815.0
2019-08-31,131535.0
2019-09-30,109715.0
2019-10-31,108845.0
2019-11-30,122460.0
2019-12-31,110705.0
2020-01-31,107945.0
2020-02-29,75955.0
2020-03-31,63800.0
2020-04-30,0.0
2020-05-31,0.0
2020-06-30,910.0
2020-07-31,0.0
2020-08-31,0.0
2020-09-30,18775.0
2020-10-31,35620.0
2020-11-30,64320.0
2020-12-31,45995.0
2021-01-31,53515.0
2021-02-28,51506.5
2021-03-31,61895.0
2021-04-30,49595.0
2021-05-31,62095.0
2021-06-30,51665.0
2021-07-31,68650.0
2021-08-31,54385.0
2021-09-30,51860.0
2021-10-31,72005.0
2021-11-30,55572.5
2021-12-31,73495.0
2022-01-31,32982.5
2022-02-28,44795.0
2022-03-31,25285.0
