fecha,total
2018-02-28,355005.0
2018-03-31,507442.5
2018-04-30,420120.0
2018-05-31,406090.0
2018-06-30,427651.0
2018-07-31,504235.0
2018-08-31,402425.0
2018-09-30,406835.0
2018-10-31,398509.0
2018-11-30,408670.0
2018-12-31,459598.0
2019-01-31,365675.0
2019-02-28,375975.0
2019-03-31,445490.0
2019-04-30,462669.0
2019-05-31,402561.0
2019-06-30,432360.0
2019-07-31,405995.0
2019-08-31,426459.0
2019-09-30,376085.0
2019-10-31,372025.0
2019-11-30,381700.0
2019-12-31,395065.0
2020-01-31,353265.0
2020-02-29,325400.0
2020-03-31,353475.0
2020-04-30,327340.0
2020-05-31,354530.0
2020-06-30,293260.0
2020-07-31,340010.0
2020-08-31,340590.0
2020-09-30,302290.0
2020-10-31,330855.0
2020-11-30,399995.0
2020-12-31,324945.0
2021-01-31,347545.0
2021-02-28,361101.5
2021-03-31,400950.0
2021-04-30,392220.0
2021-05-31,381898.5
2021-06-30,312210.0
2021-07-31,393980.0
2021-08-31,370385.0
2021-09-30,321530.0
2021-10-31,389250.0
2021-11-30,361972.5
2021-12-31,423805.0
2022-01-31,339362.5
2022-02-28,298195.0
2022-03-31,134359.0
