folio,fecha,nopersonas,cambio,descuento,idcliente,tipodeservicio,total,efectivo,tarjeta,totalalimentos,totalbebidas
1,2018-02-01 16:13:38.000,8,0.0,0.0,,1,825.0,825.0,0.0,551.7241,159.4828
2,2018-02-01 19:56:38.000,1,0.0,0.0,,1,85.0,85.0,0.0,51.7241,21.5517
3,2018-02-01 20:28:14.000,1,0.0,0.0,,1,120.0,120.0,0.0,81.8966,21.5517
4,2018-02-01 20:33:06.000,1,0.0,0.0,,1,490.0,0.0,539.0,336.2069,86.2069
5,2018-02-01 20:59:32.000,1,0.0,0.0,,1,600.0,0.0,600.0,344.8276,172.4138
6,2018-02-01 21:17:10.000,6,0.0,0.0,,1,1560.0,960.0,600.0,637.931,706.8966
7,2018-02-01 21:29:59.000,3,0.0,0.0,,1,465.0,465.0,0.0,258.6207,142.2414
8,2018-02-01 21:59:05.000,4,0.0,0.0,,1,0.0,0.0,0.0,0.0,0.0
9,2018-02-01 22:24:00.000,2,0.0,0.0,,1,570.0,570.0,0.0,250.0,241.3793
10,2018-02-01 23:26:29.000,1,0.0,0.0,,1,160.0,160.0,0.0,81.8966,56.0345
12,2018-02-02 16:19:17.000,1,0.0,0.0,,1,415.0,415.0,0.0,306.0345,51.7241
13,2018-02-02 16:23:58.000,1,0.0,100.0,000031,2,0.0,0.0,0.0,0.0,0.0
14,2018-02-02 16:32:22.000,1,0.0,0.0,000001,2,0.0,0.0,0.0,0.0,0.0
15,2018-02-02 18:46:43.000,3,0.0,0.0,,1,625.0,625.0,0.0,349.1379,189.6552
16,2018-02-02 19:11:42.000,2,0.0,0.0,,1,425.0,425.0,0.0,206.8966,159.4828
17,2018-02-02 21:34:55.000,1,100.0,0.0,               ,3,400.0,400.0,0.0,344.8276,0.0
18,2018-02-02 22:37:39.000,1,0.0,0.0,,1,485.0,0.0,485.0,267.2414,150.8621
19,2018-02-02 22:45:20.000,2,0.0,0.0,,1,550.0,0.0,550.0,284.4828,189.6552
20,2018-02-02 22:47:20.000,2,0.0,0.0,,1,460.0,0.0,506.0,155.1724,241.3793
22,2018-02-03 15:12:56.000,1,0.0,0.0,               ,3,320.0,0.0,320.0,275.8621,0.0
23,2018-02-03 15:16:22.000,1,0.0,0.0,               ,3,120.0,120.0,0.0,103.4483,0.0
24,2018-02-03 15:24:07.000,1,0.0,0.0,               ,3,660.0,660.0,0.0,543.1034,0.0
25,2018-02-03 15:25:58.000,1,0.0,0.0,               ,3,210.0,210.0,0.0,181.0345,0.0
26,2018-02-03 15:27:09.000,1,0.0,0.0,               ,3,210.0,210.0,0.0,181.0345,0.0
27,2018-02-03 15:28:13.000,1,0.0,0.0,               ,3,250.0,250.0,0.0,215.5172,0.0
28,2018-02-03 15:28:58.000,2,0.0,0.0,,1,280.0,280.0,0.0,198.2759,43.1034
29,2018-02-03 16:00:59.000,1,0.0,0.0,               ,3,210.0,210.0,0.0,181.0345,0.0
30,2018-02-03 16:01:45.000,1,0.0,0.0,               ,3,240.0,240.0,0.0,206.8966,0.0
