idproducto,descripcion,idgrupo
1001,CAFÉ AMERICANO,1
1002,COCA COLA 355 ML,1
1003,SIDRAL MANZANA 355 ML,1
1004,MIRINDA TORONJA 355 ML,1
1005,FRESCA 355 ML,1
1006,SPRITE 355 ML,1
1007,AGUA EMBOTELLADA 500 ML,1
1008,VASO LIMONADA NATURAL,1
1009,VASO LIMONADA MINERAL,1
1010,VASO NARANJADA NATURAL,1
1011,VASO NARANJADA MINERAL,1
1012,JARRA LIMONADA NATURAL,1
1013,JARRA LIMONADA MINERAL,1
1014,JARRA NARANJADA NATURAL,1
1015,JARRA NARANJADA MINERAL,1
1016,CAFÉ CAPPUCCINO,1
1017,CAFÉ ESPRESSO,1
1018,AGUA MINERAL 355 ML,1
1019,FANTA 355 ML,1
1020,COCA COLA LIGHT 355 ML,1
1021,CON CAMARON (S),5
1022,MATUSALEM CLASICO BOT 750 ML,15
1023,CALIMOCHO,15
1024,AGUA QUINA PEÑAFIEL 355 ML,1
1025,BOTELLA TORRES 10,15
1026,COCA SIN AZÚCAR 355 ML,1
1027,MEZCAL 400 CONEJOS,15
1028,CLAMATO PREPARADO,1
1029,EXTRA BOLOÑESA,5
10298,SP AGLIO E OLIO,8
1040,CANTABURROS COPA,10
1041,SELECCION BOT 750 ML,10
1052,PAY DE QUESO Y NUEZ,11
1801,SALMON A LAS FINAS HIERBAS,18
1901,POSTALES 750 ML (S),10
2001,ENSALADA CAPRESE,2
2002,ENSALADA CÉSAR,2
2003,ENSALADA RIVIERA 42,2
2004,ENSALADA ENAMORADA,2
2005,ENSALADA CAPRICHO,2
3001,CARPACCIO DE RES,3
3002,CARPACCIO DE SALMÓN,3
3003,PORTOBELLO,3
3004,ALCACHOFAS A LOS 4 QUESOS,3
4001,SALMÓN A LAS FINAS HIERBAS (S),18
5001,LASAGNA,5
5002,RAVIOLI,5
5003,SPAGHETTI,5
5004,PASTA CON SALMÓN (S),5
5005,PASTA CON CAMARONES (S),5
5006,FETUCCINI,5
5007,PENNE,5
5008,POMODORO (S),5
5013,RAVIOLES EN SALSA NEGRA,5
58006,SP ALFREDO,8
58007,LASAGNA VERDE,5
6001,HAWAIANA,6
6002,CUATRO QUESOS,6
6003,PEPPERONI,6
6004,VEGETARIANA,6
6005,MARGARITA,6
6006,ESPECIAL,6
6007,PALEO,6
6008,CHILORIO,6
6009,CONSENTIDA,6
6010,PISTACHE,6
6011,RIVIERA 42,6
6012,HUERFANITA,6
6013,SU MAJESTAD,6
6014,JAMÓN SERRANO,6
6015,PIZZA POR MITADES,6
6016,IRREVERENTE,6
6017,CAMARÓN,6
6018,JAMON,6
