folio,idformadepago,importe
3,EF,120.0
2,EF,85.0
1,EF,825.0
4,MC,490.0
5,MC,600.0
10,EF,160.0
9,EF,570.0
8,EF,0.0
6,EF,960.0
6,VISA,600.0
7,EF,465.0
12,EF,415.0
14,EF,0.0
13,EF,0.0
15,EF,625.0
17,EF,400.0
19,VISA,550.0
18,VISA,485.0
16,EF,425.0
20,VISA,460.0
22,VISA,320.0
23,EF,120.0
24,EF,660.0
25,EF,210.0
27,EF,250.0
29,EF,210.0
30,EF,240.0
28,EF,280.0
34,VISA,485.0
36,EF,760.0
37,EF,200.0
38,EF,710.0
35,EF,810.0
39,VISA,230.0
40,EF,280.0
41,EF,200.0
44,EF,170.0
43,VISA,535.0
45,EF,170.0
46,EF,430.0
47,EF,400.0
48,EF,280.0
42,EF,620.0
55,EF,210.0
54,EF,260.0
56,EF,535.0
57,EF,240.0
49,MC,1015.0
58,EF,200.0
26,EF,210.0
50,EF,230.0
51,EF,195.0
52,EF,170.0
53,EF,170.0
31,MC,350.0
32,EF,630.0
33,EF,95.0
60,EF,0.0
63,EF,210.0
64,VISA,430.0
65,EF,310.0
66,EF,740.0
61,VISA,270.0
67,EF,210.0
87,VISA,245.0
89,EF,300.0
90,EF,230.0
91,EF,170.0
92,EF,210.0
80,EF,0.0
100,VISA,460.0
101,EF,190.0
93,VISA,600.0
102,EF,210.0
88,EF,295.0
103,EF,230.0
78,EF,210.0
62,VISA,530.0
85,EF,170.0
94,EF,195.0
95,EF,250.0
96,EF,230.0
97,EF,170.0
98,EF,210.0
99,EF,405.0
68,EF,760.0
69,EF,530.0
70,EF,200.0
71,EF,290.0
73,EF,265.0
75,EF,235.0
76,EF,330.0
77,EF,170.0
79,EF,240.0
72,EF,555.0
81,EF,450.0
81,VISA,500.0
82,EF,170.0
83,EF,380.0
84,EF,380.0
86,VISA,380.0
74,EF,575.0
105,EF,1270.0
106,EF,170.0
107,EF,170.0
118,EF,550.0
127,EF,370.0
116,EF,495.0
126,EF,520.0
125,EF,640.0
134,EF,230.0
120,EF,405.0
129,EF,0.0
130,VISA,1280.0
131,VISA,425.0
133,VISA,1270.0
132,EF,440.0
138,VISA,650.0
135,EF,200.0
139,EF,330.0
136,EF,455.0
142,EF,570.0
143,EF,200.0
144,EF,560.0
145,EF,230.0
140,EF,405.0
141,EF,780.0
137,VISA,2060.0
147,EF,170.0
148,EF,230.0
151,EF,200.0
150,EF,0.0
152,EF,230.0
149,VISA,625.0
154,MC,320.0
155,VISA,465.0
108,EF,565.0
109,EF,170.0
110,EF,550.0
111,EF,470.0
112,EF,340.0
113,EF,610.0
121,EF,655.0
119,EF,345.0
128,EF,240.0
146,EF,240.0
122,EF,170.0
115,EF,330.0
117,EF,170.0
114,VISA,400.0
123,VISA,250.0
124,EF,170.0
153,EF,325.0
157,VISA,330.0
158,VISA,210.0
159,VISA,350.0
160,VISA,330.0
161,EF,170.0
163,EF,410.0
162,EF,335.0
164,EF,460.0
166,EF,460.0
167,EF,170.0
165,EF,770.0
169,EF,310.0
171,EF,120.0
170,VISA,800.0
168,EF,565.0
173,EF,210.0
174,EF,365.0
175,EF,300.0
